id,citation,year,tier,url_or_file,notes
kawasaki-2026-comparison,"Kawasaki Heavy Industries, Ltd. Comparison between LH2 and other Carriers of Hydrogen.",2026,proprietary,sources/raw/Project/Kawasaki Heavy Industries/Comparison_btw_LH2_and_other_carriers_KHI2604_R1.md,"KHI2604 R1, Apr 2026. Qualitative carrier comparison (LH2/NH3/MCH): energy-efficiency deltas, CO2 emissions, ammonia-as-fuel constraints. Energy/CO2 deltas trace to IEA GHR 2022 / IEA Apr-2023."
kawasaki-2026-supplemental,"Kawasaki Heavy Industries, Ltd. Supplemental Information — Comparison between LH2 and other Carriers of Hydrogen.",2026,proprietary,sources/raw/Project/Kawasaki Heavy Industries/Supplemental_Information_Comparison_btw_LH2_and_other_carriers_KHI2605_R0.md,"KHI2605 R0, May 2026. Per-component cost stacks + chain specs for LH2/MCH/NH3 at Base (2.5B Nm3/y) & Large (10B Nm3/y); liquefier 0.55 kWh/Nm3, vessel 160000 m3 @ 29.6 km/h, BOR 0.1%/d. Cost figures trace to iae-2019-gigaton."
kawasaki-2026-questionnaire,"Kawasaki Heavy Industries, Ltd. Gentari Liquid H2 Questionnaire — KHI reply (Rev.1).",2026,proprietary,sources/raw/Project/Kawasaki Heavy Industries/KHI_Gentari_Liquid_H2_Questionnaire_20260220_KHI_reply0331_GHSB20260406.md,"Mar 31 / Apr 6 2026. Liquefaction SEC ~8-9 kWh/kg; min scale ~10000 tpa; H2 Claude + N2 precool; Fe-based O-P catalyst; regas duty ~3.8 MJ/kg-LH2; BOG-as-fuel = BOR; no onboard reliquefaction; claims no H2 losses. Supersedes reply0304."
kawasaki-2026-questionnaire-r0,"Kawasaki Heavy Industries, Ltd. Gentari Liquid H2 Questionnaire — KHI reply (Mar 4).",2026,proprietary,sources/raw/Project/Kawasaki Heavy Industries/KHI_Gentari_Liquid_H2_Questionnaire_20260220_KHI_reply0304.md,"Mar 4 2026. Earlier revision of the questionnaire; superseded by kawasaki-2026-questionnaire. Retained for traceability."
kawasaki-hydrogen-activities,"Kawasaki Heavy Industries, Ltd. Kawasaki's Hydrogen Activities.",2026,proprietary,sources/raw/Project/Kawasaki Heavy Industries/Kawasakis_Hydrogen_Activities_2.md,"Company overview of KHI hydrogen value-chain activities (Suiso Frontier, liquefaction, carriers, terminals). Publication date to confirm [needs date]."
iae-2019-gigaton,"Institute of Applied Energy (IAE). Gigaton Workshop, WHTC 2019 (6 May 2019).",2019,institutional,sources/raw/Project/Kawasaki Heavy Industries/Supplemental_Information_Comparison_btw_LH2_and_other_carriers_KHI2605_R0.md,"Origin of the LH2/MCH/NH3 per-component carrier-cost comparison reproduced in kawasaki-2026-supplemental. Cited second-hand via KHI; primary IAE source not yet held in repo [needs source: primary]."
doe-2009-h2-liquefaction-energy,"U.S. DOE Hydrogen and Fuel Cells Program Record #9013 -- Energy Requirements for Hydrogen Gas Compression and Liquefaction as Related to Vehicle Storage Needs (M. Gardiner, 7 Jul 2009; approved S. Satyapal, 26 Oct 2009).",2009,institutional,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf,"Ideal/theoretical minimum specific work to liquefy H2 from ambient (~300K/1 atm) gas to liquid at NBP: ~3.3 kWh/kg (11.9 MJ/kg) normal-H2 basis; ~3.9 kWh/kg (14.2 MJ/kg) with conversion to para-H2 (required for real LH2 storage). Retrieved via web search Jul 2026; direct PDF fetch returned HTTP 403, figures corroborated against independent secondary sources (see hull-2024-orthopara-exergy) [needs source: primary PDF verification]."
hull-2024-orthopara-exergy,"Comparative energy and exergy analysis of ortho-para hydrogen and non-ortho-para hydrogen conversion in hydrogen liquefaction. International Journal of Hydrogen Energy 78 (2024) 991-1003.",2024,institutional,https://www.sciencedirect.com/science/article/pii/S0360319924026089,"Peer-reviewed cross-check: LH2 exergy content ~=11.5% of its LHV (0.115x33.33 = 3.83 kWh/kg), consistent with doe-2009-h2-liquefaction-energy's ~3.9 kWh/kg para-H2 ideal-work figure. Also cites current-plant SEC 8.45-15.65 kWh/kg range."
casale-cracker-johorhub,"Casale SA. Ammonia Cracker technical package for the Johor Hub project (design basis, process description, cracker overview).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/Casale/Casale_Cracker_Design_Basis__JohorHub.md","MACH2(TM) licensor package (adiabatic + top-fired furnace, axial-radial reactor) replicated from the Gentari-ammoniacracker repo (see docs/memory.md Data Provenance). Indicative/Class III-V cost-accuracy figures where present -- do not present as firm. Companion files: Casale_Ammonia_Cracker__JohorHub.md, Casale_Cracker_Process_Description__JohorHub.md."
duiker-cracker-johorhub,"Duiker Combustion Engineers. AHC ammonia cracker technical package for the Johor Hub project.",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/duiker/duiker-johor-hub.md","SCO combustor + convective cracking reactor + PSA. Includes indicative EUR2.7M construction + EUR8.50/t H2 operation license fee (Class III-V, non-binding). Replicated from Gentari-ammoniacracker repo."
