segment,component,parameter,value,unit,low,high,basis,source_id,tag,notes
cost,production,supply_cost,10.1,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"IAE Gigaton WS WHTC2019 via kawasaki-2026-supplemental; unit inferred (slide unlabelled), ~2019 vintage [needs source: primary]"
cost,liquefaction,supply_cost,10.3,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,loading_terminal,supply_cost,5.6,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,seaborne_transport,supply_cost,4.0,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,receiving_terminal,supply_cost,6.3,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,dehydrogenation,supply_cost,0.0,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"zero for LH2 (no reconversion step); IAE via KHI [needs source: primary]"
cost,other,supply_cost,1.3,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,TOTAL,supply_cost,37.6,JPY/Nm3,,,LH2 Base,iae-2019-gigaton,cited,"sum of LH2 Base components; reconciliation check"
cost,production,supply_cost,10.1,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,liquefaction,supply_cost,10.0,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,loading_terminal,supply_cost,1.9,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,seaborne_transport,supply_cost,4.0,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,receiving_terminal,supply_cost,3.4,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,dehydrogenation,supply_cost,0.0,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"zero for LH2 (no reconversion step); IAE via KHI [needs source: primary]"
cost,other,supply_cost,1.3,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"IAE via KHI; unit inferred JPY/Nm3 ~2019 [needs source: primary]"
cost,TOTAL,supply_cost,30.7,JPY/Nm3,,,LH2 Large,iae-2019-gigaton,cited,"sum of LH2 Large components; reconciliation check"
cost,production,supply_cost,9.3,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"IAE via KHI; technological-progress case [needs source: primary]"
cost,liquefaction,supply_cost,8.6,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"IAE via KHI; technological-progress case [needs source: primary]"
cost,loading_terminal,supply_cost,1.8,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"IAE via KHI; technological-progress case [needs source: primary]"
cost,seaborne_transport,supply_cost,2.3,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"IAE via KHI; technological-progress case [needs source: primary]"
cost,receiving_terminal,supply_cost,2.8,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"IAE via KHI; technological-progress case [needs source: primary]"
cost,dehydrogenation,supply_cost,0.0,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"zero for LH2 (no reconversion step); IAE via KHI [needs source: primary]"
cost,other,supply_cost,1.3,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"IAE via KHI; technological-progress case [needs source: primary]"
cost,TOTAL,supply_cost,26.1,JPY/Nm3,,,LH2 Tech,iae-2019-gigaton,cited,"sum of LH2 Tech components; reconciliation check"
cost,liquefaction,capex_specific,,USD/kg,,,reasonable-size plant,kawasaki-2026-questionnaire,needs-source,"NOT disclosed by KHI (reply Q8): Feasibility Study necessary"
cost,liquefaction,opex_specific,,USD/kg,,,reasonable-size plant,kawasaki-2026-questionnaire,needs-source,"NOT disclosed by KHI (reply Q9): Feasibility Study necessary"
cost,receiving_terminal,regas_capex_specific,,USD/kg,,,reasonable-size terminal,kawasaki-2026-questionnaire,needs-source,"not separately disclosed by KHI; only IAE aggregate available"
cost,carrier,newbuild_cost,,USD/ship,,,160000 m3 vessel,kawasaki-2026-questionnaire,needs-source,"NOT disclosed by KHI (reply Q31)"
