segment,component,parameter,value,unit,low,high,basis,source_id,tag,notes
shipping,commercial_carrier,cargo_capacity,160000,m3,,,"commercial-scale target vessel",kawasaki-2026-supplemental,cited,"160000 m3/ship on KHI cost-basis slide"
shipping,commercial_carrier,service_speed,29.6,km/h,,,"design velocity",kawasaki-2026-supplemental,cited,"approx 16 knots"
shipping,commercial_carrier,fleet_count,2,ship,,,"Base 2.5B Nm3/y",kawasaki-2026-supplemental,cited,"2 ships at Base scale"
shipping,commercial_carrier,fleet_count,8,ship,,,"Large 10B Nm3/y",kawasaki-2026-supplemental,cited,"8 ships at Large scale"
shipping,carrier_40k,cargo_capacity,40000,m3,,,"vessel under construction",kawasaki-2026-questionnaire,cited,"KHI reply Q29; same tank tech as Suiso Frontier, no major issues"
shipping,suiso_frontier,cargo_capacity,1250,m3,,,"demonstration vessel",kawasaki-hydrogen-activities,cited,"first LH2 carrier; tank tech basis for scale-up"
shipping,carrier,bog_management,BOG used as propulsion fuel,,,,"dual-fuel engine (in development)",kawasaki-2026-questionnaire,cited,"KHI reply Q23/Q32; no onboard reliquefaction"
shipping,carrier,fuel_gas_consumption_rate,equal to BOR,,,,"only cargo-tank BOG used as fuel",kawasaki-2026-questionnaire,cited,"KHI reply Q23; fuel-gas (H2) consumption rate = BOR"
shipping,carrier,onboard_reliquefaction,not adopted,,,,"too much energy + space",kawasaki-2026-questionnaire,cited,"KHI reply Q33"
shipping,carrier,filling_ratio_restriction,none,,,,"no sloshing impact on BOG",kawasaki-2026-questionnaire,cited,"KHI reply Q20"
shipping,carrier,max_sailing_distance_limit,limited by MGO fuel tank,,,,"not limited by BOG",kawasaki-2026-questionnaire,cited,"KHI reply Q21"
shipping,carrier,mgo_only_pressure_holding,several days within MARVS,,,,"100% MGO regime",kawasaki-2026-questionnaire,cited,"KHI reply Q26; GCU burns excess BOG above MARVS"
shipping,carrier,load_unload_duration,,day,1,1.5,"per vessel call",kawasaki-2026-questionnaire,cited,"KHI reply Q27; varies with terminal"
shipping,carrier,shipyard,KHI Sakaide Shipyard,,,,"construction location",kawasaki-2026-questionnaire,cited,"KHI reply Q28; lead time longer than LNG carriers"
shipping,carrier,scale_up_challenge,cargo tank manufacturability,,,,"toward 160000 m3",kawasaki-2026-questionnaire,cited,"KHI reply Q29"
shipping,carrier,capex_vs_lng,significantly higher,,,,"same-size LNG carrier basis",kawasaki-2026-questionnaire,cited,"KHI reply Q30/Q31; double-wall tanks/piping, limited suppliers"
shipping,carrier,newbuild_cost,,USD/ship,,,"160000 m3 commercial vessel",kawasaki-2026-questionnaire,needs-source,"NOT disclosed by KHI (reply Q31); premium over LNG carrier only qualitative"
