segment,component,parameter,value,unit,low,high,basis,source_id,tag,notes
shipping,carrier_24k,cargo_capacity,24000,m3,,,"24 kcbm fully-refrigerated ammonia carrier",,ASSUMPTION,"user-specified vessel for the Kakinada-Hamburg shipping comparison (2026-09-07); this is a specific study vessel, distinct from the generic 40000 m3 placeholder in data/carriers/chain-energy-defaults.csv used by the whole-chain energy ledger"
shipping,carrier_24k,cargo_density,682,kg/m3,,,"refrigerated liquid NH3 at approx -33 C, 1 atm, fully-refrigerated cargo condition (user-confirmed 2026-09-07)",,ESTIMATE,"standard published value for refrigerated liquid ammonia; no primary citation logged in references.csv yet. Same figure already used as a placeholder in data/carriers/chain-energy-defaults.csv (2026-09-02)"
shipping,carrier_24k,service_speed,24.076,km/h,,,"user-specified service speed = 13 knots",,ASSUMPTION,"user-specified (2026-09-07); 13 kn x 1.852 = 24.076 km/h. Materially slower than the LH2 40k carrier's 29.6 km/h (KHI, kawasaki-2026-supplemental) -- a key driver of the shipping comparison"
shipping,carrier_24k,voyage_boil_off_rate,0.15,%/day,0.1,0.2,"laden leg, ordinary cargo boil-off",,ASSUMPTION,"user selected the 0.1-0.2 %/day range (2026-09-07); midpoint used as the point default. No NH3-specific technical dataset exists yet (decision D4) -- treat as a placeholder, same caveat status as the LH2 carrier's own 0.2 %/day voyage-BOR estimate"
shipping,carrier_24k,bog_disposition,re-liquefied on board,,,,"onboard reliquefaction plant",,ASSUMPTION,"user-specified (2026-09-07): boil-off gas is condensed back into the cargo tank -- an ENERGY cost (refrigeration compressor duty), not a cargo mass loss. Contrasts with the LH2 40k carrier, which burns BOG as propulsion fuel (KHI reply Q23/Q33) and therefore loses cargo mass. No onboard-reliquefaction SEC (kWh/kg) figure has been supplied yet -- carried as an explicit gap in this analysis, not fabricated"
shipping,carrier_24k,port_days_per_call,1.5,day,,,"loading OR unloading, per call",,ASSUMPTION,"user-specified (2026-09-07), set equal to the LH2 carrier's disclosed 1-1.5 day range (KHI reply Q27) for direct comparability"
shipping,carrier_24k,cargo_fill_fraction,98,%,,,"usable fill vs full tank volume",,ASSUMPTION,"matched to the LH2 carrier's own fill-fraction placeholder for comparability; not NH3-specific, no source"
shipping,carrier_24k,bunker_fuel_consumption,25,t/day,,,"VLSFO burn rate under way, laden",,ASSUMPTION,"user-specified (2026-09-07). Sets the propulsion duty for BOTH carriers in the shipping comparison: the LH2 carrier is charged the same duty so its boil-off-as-fuel can be tested against a like-for-like demand. Approximation -- the LH2 carrier is a larger hull at higher speed, so its true demand is probably higher; flagged rather than scaled, since no power curve is held for either vessel"
shipping,carrier_24k,bunker_fuel_type,VLSFO,,,,"very low sulphur fuel oil",,ASSUMPTION,"user-specified (2026-09-07)"
shipping,common,vlsfo_lower_heating_value,40.2,MJ/kg,,,"marine residual fuel LHV",,ESTIMATE,"40.2 MJ/kg is the marine convention for heavy/very-low-sulphur fuel oil (the IMO MEPC EEDI/CII figure for HFO). No primary citation logged in references.csv yet [needs source: IMO MEPC guideline]"
shipping,common,bog_engine_efficiency_ratio,1.0,kg/kg,,,"thermal efficiency burning BOG vs burning the liquid bunker fuel in the same engine",,ASSUMPTION,"set to parity because no dual-fuel engine efficiency data is held for either fuel. Exposed as a live input in docs/reports/lh2-vs-nh3-shipping-studies.html so it is never silently assumed"
shipping,carrier_24k,reliq_genset_efficiency,45,%,,,"shipboard generator thermal efficiency converting bunker fuel into the electricity that drives the reliquefaction plant",,ASSUMPTION,"typical medium-speed marine genset efficiency; not vessel-specific and not sourced. Needed to express NH3 reliquefaction electricity as a physical fuel cost on the same basis as the LH2 carrier boil-off"
shipping,common,h2_gwp100,11.6,kg/kg,,,"warming potential of vented hydrogen, 100-year basis, CO2-equivalent",,ESTIMATE,"published indirect-GWP estimates for H2 cluster near this value with a wide uncertainty band. No primary citation logged [needs source: IPCC AR6 / Warwick et al.]. Applies ONLY to hydrogen actually released to atmosphere -- KHI reply Q26 describes a gas combustion unit burning excess BOG above MARVS, in which case the H2 is combusted to water and this figure does not apply"
shipping,common,h2_price,,USD/kg,,,"delivered hydrogen value used to price cargo boil-off as a premium fuel",,needs-source,"NOT set -- a live user input in the shipping-studies artifact, with no default asserted. The whole LH2-vs-NH3 bunker economics turns on it; the artifact reports the breakeven price instead of assuming one"
shipping,common,vlsfo_price,,USD/t,,,"bunker fuel price",,needs-source,"NOT set -- a live user input in the shipping-studies artifact, no default asserted"
